index,comment,additional_cost,functional_complaint,compatibility_issue,crashing,feature_removal,feature_request,network_problem,privacy_and_ethical_issue,resource_heavy,response_time,user_interface,safety,installation_issue,traffic_wasting,content,update_issue,other
67,啊啊啊额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,一点都不好。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,内容有点不广泛，总之还可以。给个三星吧！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,此应用不能用，太麻烦了，也不能下载。也没有缓存。希望你们改进。,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,垃圾完了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,我靠你麻扳机死哥生了，炕穿了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,还不错就是有一点缓慢,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,無聊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,原来资源不少啊，现在美剧怎么都没了？？伤心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,一点都不好用，会员电影少不说，原本是会员了，看会员电影还要重新购买，还不支持下载。,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
77,更新了最新版本后，我觉得不方便的是：剧集没有提示功能，如果缓存几集没有看，就不知道看到第几集了，让我得重新点几下，不方便。,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,广告时间太长了,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,会员怎么搞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,第一次用不知道这么样呢？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,垃圾货，只能看标清的垃圾,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,片头90秒广告也就罢了，看到一半也加半分钟广告！120秒广告也太丧心病狂了吧！差！非常差！如果不是多年注册用户，我会立马卸载！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,广告时间太他妈的长了！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,无法更改存储位置,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,好好,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,我想知道怎么改资料，如果改不了，我希望你们能改进一下,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,还行,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,广告太长，缓冲太多,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,广告时间太长太长太长太长长,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,广告76秒，垃圾,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,广告太多,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,有点卡，能不能优化一下,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,现在广告越来越长了，,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
94,不能储蓄到内存卡,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,看一下又跳,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,优酷那都好，就是广告太长。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,满意就给个满分咯，不满意，只给你一分！看个电影等了60秒广告竟然告诉我只能看十分钟，果断差评卸载！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,时卡时不卡,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,速度越来越慢，还不到100KB/s，哭死。,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,谁能告诉我，为什么下载视频，下了，关闭程序，在打卡视频就没了！！,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,下载个电影好慢。。。无语。。。,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,广告太多，太多，太多！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,明明网很快，但是下载东西就是比别的播放器慢很多,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,下载速度太慢了吧,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,广告时间太多,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,其他的都很好，就是广告太多！看离线只要一连到网络，都会中断给你来段广告，彻底无语了i,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,什么嘛，我连一个想看的台都木有找到，什么破玩意嘛！一颗星赏给你！！！！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,怎么不能下载到储存卡片,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,新版本不识别内存卡!差评！！！！,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
110,草，太卡了，不好,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,整体来说还不错，希望以后会更好,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,啥子烂软件，渣渣，广告你妈一点就下载取消都取消不到果断差评,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,3！！噢嗯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,资源多真心要赞，可是在看runningman的时候，为什么变超清的只有字幕，画面无论是标清下的还是超清下的都没差，难道是资源的多压制了画面清晰度，此起彼就要伏吗？话说我现在想起优酷，就会想到那怎么都改不了的标清画质-_-||（Tip:播放界面能加个时间吗，有时看视频会忘记时间这样方便些）,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,后悔更新，下载不了海贼王,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
116,一般,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,垃圾玩意,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,搞什么？看的时候可以1m/s的跑  下载只有几kb几kb的  优酷你对我说你在搞什么,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,破优酷下载错误,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,广告太多，没下什么东西内存就不够了,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
121,老是点不开会无法打�a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,越来越差,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,明明没有联网，为什么缓存好久的视频看着都要有30秒的广告，太坑了吧！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,看视频暂停时点到游戏就强制下载，只能等安装好了以后才能卸载,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,不喜欢这个版本！！！下载的视频列表字体变好小，下载页面也没爱了，希望能一直保持下载百分比的功能！！！下载速度相较之前变慢了很多！！！希望能有所改进  。,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
126,下载老是卡死，越更越垃圾,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
127,很差,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,垃圾 要快进不能快进要后退不能后退,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,联网滴时候～连自己下载的影片都有广告……广告也太多了吧！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,这广告我也是妥妥的醉了，看个长点的视频广告开头就100多秒，中间还插广告，有时候还插特别长的广告，还不止一次，动不动就连接不到网络，老是断网断网，这什么鬼软件,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
131,从更新以后下载速度太慢,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
132,真垃圾……,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,明明有网络却一直连不上 刚点了刷新就秒断 其他都能用 就优酷矫情不能连 连二十次勉强一次能连上 您的金尊还真是经不得我们凡人折腾 再这样就要卸载了 广告多得你都不知道是看电视还是看广告 如果以后网上看剧付费广告再这么多 只能手动再见了,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
134,垃圾玩意不小心点到应用，视频就强制性下载根本无法取消。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,新版本好渣，强烈要求更回去！！！严重感觉不如原来好了！看下载视频的视频名称不如原来看得全面，也看不到是标清还是高清还是超清，视频下载慢……还是原版好用＠(￣-￣)＠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,一星都不想给 手机发热反应还极慢,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
137,暂停有广告，删除太麻烦。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,……求连播……为毛不能连播？！？！？！,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,广告也太多了！重要的事情说三遍不管你有木有看到 快点更新看着一半也有广告！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,视频加载不出来,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,手机优酷放不了电影了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,你他妈，下载的视频也有广告，为了钱还有良心吗？,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
143,为什么我看着看着就自动暂停或者闪退呢，好烦哦。,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,广告时间太长了，看电影不是要看广告,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,广告太多太多太多，嗯，重要的事重复3次。不过谁让自己是屌丝呢,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
146,为什么我在设置中改动过存储位置了、可是下载后的电影什么的都在手机内存中、影响我手机运行内存、这不应该给个说法么！,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,买了会员手机看电影，结果手机客户端还看不了，直接跳网站，要你何用？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,收费视频,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,老是广告    电影也不更新    什么好看一点的电影都要技付    你们们是不是想钱想疯了,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
150,更新了怎么下载不了了 ，怪自己手贱了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,垃圾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,一进页面居然说无网络，之前也下了，也说无网络，优酷越来越垃圾,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,太难用了！还有广告，莫名其妙出现了个游戏！点图片就自己播放！没流量啊！！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,为什么现在不知不觉就就下载莫名游戏，360提示有毒！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,只想講一句話：占内存真TM傷不起。看來軟件千萬不能更新。,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
156,广告头疼，还有下载资源好慢，我用暴风下载快多了,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
157,垃圾！！！！一星都不想给！！！越来越垃圾！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,恐怖片很多可是放不了,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,垃圾软件 就靠个优酷的名字,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,什么玩意！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,垃圾，，，，，连无线网没信号,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
162,流氓软件！一不小心就下游戏软件，还不能停止，关闭了，再打开还继续下载！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
163,在Wifi情况下都不看得 我下了两个短视频过一天就说文件损坏 逗比,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,没见过这样强制下载应用的！能不能有点底线？,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,"越.更.新.越.垃.圾.了！

单核机子都无法使用了？？？",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,看到一半有一些就说文件损坏没法看。真是扫兴。,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,优酷，你无时无刻不下app吧，草,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168,一点开就自动创建桌面，好烦,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
169,还好,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,垃圾。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,还行，勉强合格,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,破软件，明明在网络正常的情况下，连续卸载、下载两次都播放不了视频！！！,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,太卡了！放什么都卡！,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,给一分不是因为软件，广告。而是你们抄袭追气球的熊孩子，且不认真道歉，并且一味推脱。#少年不可欺# 以后再也不会用优酷。宁可花25w美元买一集韩剧。也不愿意为中国少年梦想买一毛钱的单，名字，创意，图片全部相似，并且你们联系过人家，你告诉我不是抄袭？呵呵，要不是王思聪，留几手转发，你们会理这件事吗？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,你大晒咧 tvb版权你拿赛 又唔比下载 有閪用咩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,虽然东西确实很多，但是好多电影都要付费，还有很多不支持下载，小心伤不起啊o(╯□╰)o,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,广告太长 很不喜欢  如果不是只有这里才可以看完整的 我也是不愿意用,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,误点弹窗游戏自动下载 无法取消下载,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
179,下载路径要怎么更换啊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,TVB的片子不能缓存就算了，现在国语也没有了,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
181,下的文件拿不出来,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,差评，主要你抄袭东西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,少年不可欺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,一分，任性。少年不可欺。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185,垃圾软件，到处抄袭！卸载！！！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,现在为什么下载的文件都是破损的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,经常误触广告下载，而且没法取消，必须下完，很恶心！！,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
188,为什么所有港剧都不能下载啦！为什么？为什么为什么？为什么为什么为什么？为什么为什么为什么为什么？,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,超拉圾的，广告太长，暂停的时候不小心点到广告就立即下载游戏，连问都不问你就开下。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,恶心的广告,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
191,越来越垃圾，越来越卡，各种视频不能播放，还“优酷君也不知道……”什么玩意,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,垃圾中的战斗机。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193,真生气，缓冲电视缓冲不到内存卡上,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,广告讨闲 点错了总是下东西 还是PPTV 好些,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,劳资好不容易把广告给看完了，尼玛就来个优酷君怎么了，而且点击n次都没反应,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,垃圾，软件升级后越来越好，返来越来越差。删除键都没有了，下载东西看完了没法删除，要多大内存没有用删除掉。软件升级都没有人性化，人性化都 方便和事用。。。。。,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
197,为什么一部电视剧，下半部分可以缓存，然而上半部分不可以缓存，也太垃圾了吧！可笑，越来越垃圾的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,玛德一看东西就卡死还不是特别的时候是每次都这样不管看什么玛德手机和电脑上都一样优酷也沦陷了？卡的就像打了鸡血一样,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,不可以删除下载下来的视频........ 内存啊！,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
200,不更新就不能用，差评,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,更新后。如果你在播放视频界面关闭手机屏幕的话特别耗电。希望改进。,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
202,第一，影片太多付费，第二，资源库太少。想看的都不让看，这是闹什么？,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
203,新的优酷 怎么删除里面的缓存,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
204,拜托测试好了再拿出来行吗？搞得都不能搜索了…“还说优酷君也不知道怎么了，要不重试一下”。优酷你这是在做死哦…用户在逐渐丢失哦,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,垃圾，不会做程序别做，出了出错就是没反应，还强制更新。垃圾垃圾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,垃圾垃圾垃圾垃圾垃圾垃圾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207,现在是真心的讨厌了！！！！！！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,真他妈是逗我呢？？，在PC网页上有1080p，PC客户端上却只有720p，手机客户端上更是只有360p，优酷你挨差评活该吗这不是。,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,刚才在放着突然放不了，叫我去搜狐看！！！妹的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,垃圾，越来越垃圾了！！！！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,垃圾，坏的评论就发送失败，太作假了吧！视频总是无缘无故就强行退出，垃圾啊！,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"""优酷君也不知道怎么了，重试一下吧""出现频率高达80%，好好的视频快进也会这样再也打不开，别说手机的问题，note测试飘过，卖萌有用的话还要程序猿干嘛",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,人家优酷说了，不花钱，就闪退！,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
214,垃圾 垃圾 看视频老闪退 由忠感慨。真不行！,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,安卓手机已经不能安装了吗？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
